ISO,UN code,Name,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
COG,178,CONGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.14,23.72,16.73,6.612,0,25.72,25.46,15.71,31.01,52.01,36.95,42.22,47.07,46.59,35.5,39.11,20.34,8.123,0,0,8.086,0,0,0,0,39.63,39.26,38.72,40.39,42.36,30.85,26.77,57.35,97.31,178.2,271.2,368.1,406.9,271.2,282.9,232.5,232.5,232.5
COK,184,COOK ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,188,COSTA RICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.54,58.15,58.15,54.51,65.42,79.95,90.86,105.4,130.8,134.5,145.4,163.5,176.6,196.5,237.3,252.8,261.1,217.3,198.3,176.2,214.9,216.3,247.2,258,245.9,266,267.6,301.8,301.4,369.8,403.7,371,355.5,402.1,463.6,469.4,447.5,507.7,503.9,471,620.5,821.1,569.1,922.2,834.2,830.1,501.7,547.1,544,567.3,581.5,620.3,473,528.8,519.5,473,376.8,376.8,376.8
CIV,384,COTE D IVOIRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRV,191,CROATIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.4,0,0,433.2,300.2,292.2,313.6,371.6,287.4,304.7,484.2,467.1,0,,,60.57,0,101.2,417,776,788.5,839.7,479.7,453.8,565.7,442.9,510.3,601.8,608.8,735.8,704.7,780.3,803.7,798.9,818.4,894.3,917.3,812.4,758.2,644.5,665.7,660.4,721.8,841.4,967.4,872.9,922.8,1008,1047,1059,1073,1085,1097,1416,1300,1351,1364,1334,1304,1271,1222,1199,1086,704.2,826.6,682.4,834,622.6,682.6,801.9,861.1,1129,1257,1443,1424,1427,1510,1542,1635,1662,1568,1247,1210,1082,1035,1141,1225,1169,1077,1287,1211,1184,1213,1205,1205
CUB,192,CUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.32,83.59,83.59,87.22,109,130.8,138.1,141.7,152.6,156.2,189,207,199.9,207.2,214.4,294.4,319.8,352.5,308.9,196.3,428.7,385.2,399.8,399.8,396.1,396.1,0,385.2,385.2,367.1,371,727.8,743,900.4,1032,1241,1319,1349,1299,1410,1642,1577,1611,1671,1592,1652,1770,1787,1574,1505,855.4,540.1,517.2,570.9,726.7,718.8,941.8,855.4,892.9,808.9,799,982.2,924.9,939.9,1066,1137,1164,1079,1023,927.1,939.9,954,921.4,712.9,669.5,672,644.1,715.7,633.3,456.9,456.9,456.9
CUW,531,CURACAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,196,CYPRUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,18.17,32.71,39.79,39.98,43.61,47.25,47.25,47.25,36.34,47.25,47.25,90.86,116.3,119.9,130.8,150.5,211.2,228.2,173.7,316.4,534.8,567.7,591.7,608.9,670.2,567.5,588.7,524.3,479.2,375,491.7,492,504.2,611.8,667.7,628.9,685.5,746.9,783.8,751,810.9,780.1,739.5,740.1,762.7,745,766,751,807.7,788.2,821,812.4,818.2,673.1,555.1,546,504.5,752.3,973.8,877.1,883.2,922.9,848.2,789.2,882.3,878.8,878.8
CZE,203,CZECH REPUBLIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.6,391.5,353.1,278.6,293.1,312.3,343.5,444.4,0,91.15,69.56,98.36,105.5,115.1,0,0,300.1,458.7,538.1,566.9,614.4,681.9,725.7,762.1,839.6,948.2,1033,1209,1357,1555,1672,1770,1892,1713,1820,1894,2036,2151,2165,2251,2478,2630,2626,2704,2855,2922,2959,2982,3070,3043,3085,3053,2909,2904,2866,2745,2706,2674,2773,2708,2489,2309,2468,2195,2208,2005,2116,2083,2068,1963,1937,1629,1403,1485,1627,1625,1748,2043,1996,1566,1469,1665,1517,1332,1483,1558,1698,1728,1868,1977,1891,1958,1958
PRK,408,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.3,216.9,265.3,310,0,561.4,0,612.9,554.3,654.3,468.3,65.42,72.69,72.69,0,0,0,76.32,72.69,149,247.3,178.1,294.4,443.4,603.3,952.4,1130,1119,1174,1250,1290,1185,1236,1283,1330,1385,1981,2377,2602,2871,2958,3453,3412,3379,3338,3769,3723,3676,3623,3577,3531,3485,3438,3814,3364,2925,2498,2104,1930,1616,1756,1710,1534,1350,1272,1654,1854,2070,2125,2205,2231,2338,2403,2359,2450,2338,2397,2440,2431,2523,2547,2556,2701,2609,2226,2139,2171,2274,2274
COD,180,DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.81,29.07,32.71,21.81,7.269,3.634,3.634,3.634,3.634,3.769,7.496,17.44,11.45,21.81,32.71,32.71,43.61,37.13,39.98,57.5,61.78,72.69,87.22,101.8,119.7,123.4,170.8,199.9,225.3,229,192.4,170.8,98.13,68.94,98.13,120.1,112.9,123.4,130.8,145.4,145.4,159.9,207.2,225.3,236.2,265.3,308.9,308.9,319.8,238,224.7,211.7,205.7,227,247.7,231.4,238.3,193.6,191,210.5,207.7,189.7,189.3,102.5,71.22,60.89,67.73,95.74,98.04,50.77,54.34,64.38,68.33,80.94,106.3,132.2,160.1,206.6,203.8,205.3,158.1,177.2,189,175.2,157.9,174,127.9,154.6,98.04,348.7,406.1,535.5,418.1,418.1,418.1
DNK,208,DENMARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.2,396.1,385.2,250.8,203.6,272.6,381.6,374.3,392.4,334.4,316.2,345.3,218.1,207.2,214.4,316.2,319.8,109,247.1,312.5,381.5,410.8,432.5,487,599.8,621.5,603.3,621.5,585.1,574.2,527,687,712.2,781.4,806.7,752.3,937.6,984.9,1036,1087,1127,1290,1287,1348,1413,1416,1218,1089,1143,1119,1269,1162,922,768,846.6,788,792.8,825.3,958.3,889.6,790.4,939.6,774.7,992.6,1129,1143,1168,1243,1313,1312,1390,1355,1385,1388,1416,1330,1459,1363,1395,1407,1155,764.4,672.2,861.8,871.1,867.1,887.3,931.5,1095,1194,1160,1129,1227,1215,1215
DJI,262,DJIBOUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,58.39,65.87,54.25,50.37,62,86.8,96.87,93,93,93
DMA,212,DOMINICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM,214,DOMINICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.269,21.81,25.44,36.34,50.88,69.05,65.03,79.95,116.3,123.6,138.1,134.5,94.49,83.59,115.9,119.9,112.7,149,105.1,138.1,152.6,159.9,192.4,243.5,294.4,334.4,287.1,298,290.6,320.5,418,418,424.9,480.3,445,441.1,508.3,520.5,455.8,478.2,483.3,656.7,698.5,457.5,532.4,587.7,546.5,548,623.2,703.3,785,805.4,974.2,1068,1162,1281,1212,1098,1141,1535,1644,1671,1523,1615,1562,1605,1650,1945,2009,2005,2037,2105,2188,1977,1977,1977
ECU,218,ECUADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.269,0,0,0,7.294,7.269,7.269,10.9,14.54,18.12,18.17,18.17,14.58,18.17,25.44,29.07,39.98,43.61,43.61,47.25,72.69,76.32,76.32,79.95,76.32,98.13,109,105.4,127.2,141.7,159.9,185.3,192.6,214.4,225.6,163.5,181.6,239.9,239.9,287.3,294.4,299.8,305.4,403.6,529.2,667.4,589.8,753.9,669.8,814,915.4,934,989.1,1007,1024,1018,1040,1016,946.7,975.7,1179,1363,1304,1169,1033,1256,1297,1318,1348,1493,1570,1737,1834,2222,2110,2088,2239,2353,2612,2602,2311,2188,2244,2287,2188,1972,1972,1972
EGY,818,EGYPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,87.22,148.5,119.9,119.9,141.7,145.4,189,167.2,163.5,185.3,185,178.1,207.2,207.2,159.9,210.6,214.4,290.7,319.8,378,439.7,505.2,559.7,468.8,541.5,661.6,676,668.7,723.2,748.7,883.1,1010,1018,1105,1239,1247,1196,1207,1359,1555,1785,1820,1937,1890,1788,1614,1770,1658,1604,1474,1450,1483,1710,2076,2676,3157,2787,3681,4221,4715,6000,6767,7855,8100,7596,7615,8325,8780,9215,9787,10820,11170,11750,12720,11890,12690,14150,15570,17100,16190,19970,20510,20100,20970,20210,20760,21650,22820,21770,21000,19670,18130,20190,20600
SLV,222,EL SALVADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,18.17,25.44,29.07,32.71,43.61,43.61,39.98,43.61,36.34,32.71,39.98,43.61,39.98,69.05,69.05,76.32,69.05,79.95,90.86,109,119.9,145.4,163.5,158.6,182.2,219.6,280.9,247.1,213.9,194.9,199.9,181.3,203,197.8,271.1,275,275.6,276.7,293.1,180.4,370.2,365,381.7,406.1,436.4,455,439.9,453.4,496.7,555.6,579.8,523.3,464.4,533,521.2,516.4,479.1,507.2,515.8,536.2,466.3,387.7,383.8,341.2,348.9,422.2,496.2,387.7,387.7,387.7
GNQ,226,EQUATORIAL GUINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERI,232,ERITREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54,7.269,3.634,10.9,14.54,18.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,18.36,20.37,19.12,24.37,18.25,18.22,18.19,18.12,18.05,17.98,17.9,17.83,17.67,17.42,17.31,17.33,17.35,61.19,87.94,89.53,89.12,77.5,77.5,81.37,108.5,108.5,108.5,108.5,108.5
EST,233,ESTONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.53,6.84,8.85,9.473,9.985,7.831,10.22,12.97,17,15.85,16.55,16.56,16.88,16.9,,,,5.277,9.964,14.1,19.42,23.56,30.99,36.61,41.7,47.26,56.31,66.75,73.9,86.01,99.27,115.8,136,152.2,171.7,183,195.1,217.7,240.9,255.6,264.3,271.5,288.4,308.2,325.1,346.2,369.3,397,404.8,414.7,415,402.7,409.8,420.4,412.4,430.9,441.3,447,464.9,475.7,486,492.2,483,479,315.4,228.1,330.1,347.9,361.5,396.1,403.5,361,373.7,379.8,356.3,335.3,364.8,372.9,413.7,596.7,602.7,257,310.4,416.1,407.4,399.1,421.9,205.6,185.2,306.8,297.8,295.5,20.12,0,0
ETH,231,ETHIOPIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,10.9,10.9,,,,,3.634,3.634,3.489,3.634,3.634,3.634,14.74,14.54,14.54,10.9,14.54,10.9,14.54,14.54,21.81,18.01,21.81,46.98,50.88,72.69,87.22,83.77,90.86,105.4,94.49,61.78,58.15,72.69,71.86,35.52,42.13,45.11,51.43,60.98,66.94,76.03,107.7,109.6,117.8,150.8,170.5,156,139.6,118.9,122.8,143,189.3,248.9,280.7,305.4,304.2,258.3,355.8,362.4,361,451.4,523.6,621.6,679.6,629.4,705.4,650.1,632,796.3,1357,1749,2102,2906,3294,3526,3681,3720,3759,3759,3759
FRO,234,FAEROE ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,583,FEDERATED STATES OF MICRONESIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJI,242,FIJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.54,18.17,22.06,22.03,25.44,25.23,29.07,40.25,43.61,43.61,39.98,36.56,32.33,35.49,38.57,45.03,37.64,43.93,40.04,49.41,42.26,41.71,41.16,24.99,18.49,24.31,31.78,32.15,34.15,32.49,38.13,36.87,34,38.81,36.35,38.32,38.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,246,FINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.1,138.1,101.6,79.95,76.23,80.05,112.7,134.3,163.5,203.4,236.2,279.6,149,152.6,87.22,116.4,87.22,137.3,163.5,207.2,276.2,323.5,367.3,410.9,385.1,461.8,512.2,516.1,476.1,468.8,457.9,577.9,621.5,665.2,672.2,705.1,777.7,875.9,777.7,748.7,730.4,886.8,926.8,903.3,969.8,1018,1065,991.5,869.8,812.2,803.8,819.5,845.3,840.1,855.1,869.9,747.7,726.3,636,635.2,666.8,701.2,729.2,568.9,473.5,361.3,363.6,377.9,381.4,450,447.8,478.6,504.8,503.6,484.9,466.6,528.8,542.2,573.9,605.5,619.8,385.3,525.7,557.8,497.2,481.8,468.8,462.1,553.2,603.7,601.7,583.5,569.7,622.7,622.7
FRA,250,FRANCE (INCLUDING MONACO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097,2860,2468,2424,2486,2301,2410,2177,2293,2104,0,0,0,1683,1236,1446,734.1,777.7,1047,1904,2660,3184,3562,4016,4274,4601,4815,5248,5655,6233,6629,6920,7007,7603,8344,8962,10640,11060,11520,12050,12550,13610,14340,14190,14540,14810,15470,14030,13820,13440,12950,13210,13220,12710,11670,10840,9958,10220,10110,10040,10680,11220,10940,10390,9343,8592,8775,8635,8436,8111,8686,8386,8561,8655,8643,8556,9065,9108,9307,9478,8880,7679,7888,8065,7502,7300,6975,6606,6639,6483,6701,6807,6197,6495,6495
GUF,254,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYF,258,FRENCH POLYNESIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB,266,GABON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.9,92.36,7.026,41.64,51.43,67.72,80.37,52.89,91.41,106.4,92.3,59.69,55.81,48.95,47.62,47.96,47.48,53.94,51.41,62.74,75.26,81.23,79.49,72.89,84.9,96.65,103.1,103.9,103.5,103,102.1,88.51,88.47,96.28,85.99,86.44,76.47,66.17,69.75,77.5,131.7,143.4,189.9,209.2,197.6,197.6,197.6
GMB,270,GAMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEO,268,GEORGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.587,5.674,7.34,7.857,8.282,6.496,8.473,10.76,14.1,13.15,13.73,13.73,14,14.02,,,,4.377,8.265,11.7,16.11,19.54,25.7,30.36,34.59,39.2,46.7,55.37,61.3,71.34,82.34,96.01,112.8,126.2,142.5,151.8,161.8,180.6,199.8,212,219.2,225.2,239.2,253.1,264.4,278.9,294.6,313.7,313.2,314.1,307.7,292.3,291.1,292.3,280.6,287,287.5,285,290,290.2,290,287.2,275.6,259.3,203.3,121.8,40.56,40.52,34.4,36.79,80.77,137.6,140.2,134.4,138.6,137.2,168.2,177.4,175.7,173.2,171.9,332.1,327.1,568.1,583.1,619,620.5,671.3,690.3,785.4,756,1023,947.5,947.5,947.5
DEU,276,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3812,3562,2802,1897,1428,1944,3198,4354,5778,6229,7712,6898,5310,5608,3602,4485,0,0,1283,1519,3216,4779,6171,6960,7465,8951,9482,10590,11110,11180,11490,13530,14800,16020,16820,17140,19470,19880,20360,19210,20260,21000,22890,24240,25240,24320,21960,20850,21870,21080,21940,22410,20980,19470,18440,18450,17490,15990,16330,15800,16060,16720,15300,13740,14440,14530,15340,15560,14810,15270,15540,15770,15250,13500,12820,13510,14070,13050,13340,14450,13580,12560,12430,13390,13290,12500,12900,12630,12660,13410,13230,13290,13360,13640,12810
GHA,288,GHANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,18,21,26,25,21,22,33,33.86,33.86,33.86
GRC,300,GREECE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.69,76.32,87.33,98.13,98.13,98.28,123.6,134.6,138.1,141.7,152.4,170.8,94.49,32.71,14.78,0,0,25.44,50.88,90.86,137.7,163.5,196.3,214.3,294.2,367.3,421.6,559.7,610.9,606.9,661.4,712.3,810.8,908.6,951.8,1134,1319,1588,1774,1704,2017,2391,2395,2717,3059,3140,3371,3784,4136,4968,5256,5594,5818,5894,5811,6366,6015,6032,5839,5718,5621,5356,5762,5716,5861,5875,5916,6356,6374,6408,6383,6366,6537,6566,6313,6368,6364,6791,6599,6407,6054,4582,4209,2430,3099,3639,3822,3467,3772,3685,3419,3360,2978,3167,3167
GRL,304,GREENLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRD,308,GRENADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLP,312,GUADELOUPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,320,GUATEMALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,10.9,10.9,10.9,14.54,14.54,14.54,14.54,18.17,21.81,29.07,29.07,29.07,29.07,39.98,39.98,47.25,58.15,58.15,54.51,61.78,58.15,76.32,90.86,116.3,98.13,109,87.22,109,109,112.7,130.8,152.6,152.6,192.6,219.8,239.4,247.9,273.9,268,241.5,236.2,206.5,191.4,239.6,290.4,587.8,352.3,381.6,725.1,620.8,602.7,481.2,515.3,494.1,466.9,547.6,640.9,682.7,835.3,846.1,839.9,833.6,910.1,985.4,975.7,1002,993,592.9,1099,1114,1119,1154,1357,1423,1303,1334,1175,1120,1252,1252,1252
GIN,324,GUINEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,624,GUINEA BISSAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,328,GUYANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.7886,39.43,157.7,157.7,161.7,161.7,157.7,157.7,157.7
HTI,332,HAITI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,14.54,21.81,14.54,18.17,18.17,25.44,21.81,29.07,25.44,29.07,21.81,18.17,18.17,21.81,25.44,29.07,36.34,39.98,54.51,69.05,76.32,118.9,117.9,120.4,112.4,114.9,110.4,99.16,98.27,100.7,119.8,112.1,111,110,96.13,86.32,107.8,86.11,43,0,0,0,0,0,0,0,86.3,121.8,121,124.1,123.2,117.9,116.3,119.2,118.6,118,19.54,29.14,38.86,77.54,77.54,77.54,77.54,77.54,77.54,77.54,77.54,77.54
